epoch,delta_abs_mean,loss,lr,mae,val_delta_abs_mean,val_loss,val_mae
0,1.4578735828399658,12.261664390563965,0.001,1.2798688411712646,1.4501519203186035,1.761172890663147,1.082545518875122
1,1.4896628856658936,1.4648594856262207,0.001,1.720919132232666,1.4984349012374878,1.3490326404571533,1.9739530086517334
2,1.4982526302337646,1.2919704914093018,0.001,2.0238418579101562,1.4999425411224365,1.3042722940444946,1.8584628105163574
3,1.498747706413269,1.2476866245269775,0.001,1.9675519466400146,1.4998265504837036,1.249361276626587,1.880845069885254
4,1.4989848136901855,1.1593867540359497,0.001,1.9121593236923218,1.498905897140503,1.1551218032836914,1.8990850448608398
5,1.49846613407135,1.1166250705718994,0.001,1.9070172309875488,1.4987257719039917,1.1146223545074463,1.8373236656188965
6,1.4980984926223755,1.0854634046554565,0.001,1.9050357341766357,1.4969911575317383,1.15066659450531,1.8191481828689575
7,1.498221516609192,1.0676372051239014,0.001,1.937644600868225,1.497725009918213,1.0810080766677856,1.883585810661316
8,1.4967955350875854,1.003347635269165,0.001,1.9506633281707764,1.4959275722503662,1.0477217435836792,1.8747785091400146
9,1.495789647102356,1.0334383249282837,0.001,1.9438652992248535,1.4934769868850708,1.0457966327667236,1.9196012020111084
10,1.4959747791290283,0.9873951077461243,0.001,1.9523483514785767,1.494369626045227,1.056164026260376,1.9258977174758911
11,1.493393898010254,0.9636345505714417,0.001,1.9363842010498047,1.4920790195465088,0.9887121319770813,1.903814435005188
12,1.4906351566314697,0.9283261299133301,0.001,1.9779326915740967,1.4855718612670898,1.0237241983413696,1.9260388612747192
13,1.4881510734558105,0.9304494261741638,0.001,1.9770400524139404,1.4882233142852783,0.9806108474731445,1.8686214685440063
14,1.4835724830627441,0.8973350524902344,0.001,1.9699773788452148,1.4778199195861816,1.0117008686065674,1.9351305961608887
15,1.4764137268066406,0.9000096917152405,0.001,2.011232376098633,1.4632627964019775,0.9648309350013733,1.9713342189788818
16,1.4630881547927856,0.8789090514183044,0.001,2.016230821609497,1.4587854146957397,0.9751441478729248,1.9494231939315796
17,1.4591715335845947,0.8743315935134888,0.001,2.017063617706299,1.4584859609603882,0.9782604575157166,1.9201663732528687
18,1.4511632919311523,0.8536555171012878,0.001,2.0124447345733643,1.4348387718200684,1.0007041692733765,1.963618278503418
19,1.4384121894836426,0.809440016746521,0.0005,2.0629091262817383,1.4280592203140259,1.1778069734573364,1.9613518714904785
20,1.430193305015564,0.8008108139038086,0.0005,2.0476341247558594,1.4146884679794312,1.2093621492385864,1.9968061447143555
21,1.4202123880386353,0.8075029850006104,0.0005,2.029143810272217,1.4108641147613525,1.2255232334136963,1.9851529598236084
22,1.4133524894714355,0.7838894724845886,0.00025,2.0476086139678955,1.3986139297485352,1.2612553834915161,1.9803838729858398
23,1.4078742265701294,0.776322603225708,0.00025,2.045119524002075,1.4036026000976562,1.2797895669937134,1.9962044954299927
