method,eval_split,count,avg_PESQ,avg_CSIG,avg_CBAK,avg_COVL,avg_STOI,avg_SNRi,avg_SI-SNRi,avg_DNSMOS_OVR
exp_fc_base,full824,824,1.7722495217057108,3.280698470991853,2.345803819284826,2.495258789369888,0.8948009831928464,-2.803548623502334,0.6582489717947613,2.964622229193021
logmel_model_exp_mask_df_v4,full824,824,1.761533710273724,3.2732888202951647,2.3428153218341694,2.4860708951876647,0.8940806855451165,-2.7327644072582946,0.6812386157161984,2.972013902316973
logmmse,full824,824,2.0093894767240412,3.1660756103515317,2.7201602328895373,2.5383274975870003,0.9107878357454532,2.5029666167679143,2.270970925911427,3.2541790167683535
mmse_stsa,full824,824,1.9852020176290308,3.2668525450785046,2.6896901814660144,2.5842531506844173,0.9117582429678943,2.0913474620894856,1.8848084005138976,3.3436860971659135
noisy,full824,824,1.9705236484703508,3.3460641495518537,2.442538155812596,2.631581634012907,0.9209882267167752,0.0,0.0,3.3093073483809685
pca_subspace,full824,824,1.6385209014982853,3.152032210801899,2.1909203329388007,2.3631378837126937,0.9035572211562932,-3.5109149561716952,-3.9615862810798426,3.126949112970852
pca_wiener,full824,824,1.913889823897371,3.292844147423095,2.5333703328405495,2.564534162503944,0.9213130376867796,-0.2807703477829293,-0.395441548700236,3.1798137597088676
spectral_gating,full824,824,2.2138872671763874,3.220400574628365,2.7370735295974833,2.676341746088464,0.9136410026511717,2.7956746952751477,3.128772210021906,2.855665918114116
spectral_subtraction,full824,824,1.8904164494241325,3.19232256124649,2.5544885794418524,2.4931793473935846,0.9195934557820039,0.23458772411632603,0.11046732336050481,3.0500912822565986
wiener,full824,824,2.0155701893336566,2.9230902843360203,2.7059887610544244,2.4047746587576033,0.9092478594975594,2.990102268724422,2.751515111310309,3.066689431377985
exp_fc_base,subset12,12,2.0209620197614035,3.416940883503388,2.5520011683544674,2.705980739133906,0.9112133998162831,-3.128921044732199,0.7348601085799665,3.2831938664118447
